Study,Outcome,Group,N,Value
Anzueto 2009,Moderate/severe exacerbations (≥1),Intervention,N=385,208/385 (54%)
Anzueto 2009,OCS-treated exacerbations (≥1),Intervention,N=385,161/385 (42%)
Anzueto 2009,All exacerbations (≥1),Intervention,N=385,335/385 (87%)
Anzueto 2009,Pre-dose FEV1 change from baseline (mL),Intervention,N=385,-17±21
Anzueto 2009,SGRQ total score change,Intervention,N=385,2.49
Anzueto 2009,Any adverse event,Intervention,N=394,344/394 (87%)
Anzueto 2009,Nasopharyngitis,Intervention,N=394,133/394 (34%)
Anzueto 2009,Pharyngolaryngeal pain,Intervention,N=394,129/394 (33%)
Anzueto 2009,Pyrexia,Intervention,N=394,70/394 (18%)
Anzueto 2009,Headache,Intervention,N=394,52/394 (13%)
Anzueto 2009,COPD,Intervention,N=394,42/394 (11%)
Anzueto 2009,Rhinorrhoea,Intervention,N=394,43/394 (11%)
Anzueto 2009,Upper respiratory tract infection,Intervention,N=394,41/394 (10%)
Anzueto 2009,Nausea,Intervention,N=394,33/394 (8%)
Anzueto 2009,Nasal congestion,Intervention,N=394,32/394 (8%)
Anzueto 2009,Back pain,Intervention,N=394,32/394 (8%)
Anzueto 2009,Diarrhoea,Intervention,N=394,27/394 (7%)
Anzueto 2009,Sinusitis,Intervention,N=394,30/394 (8%)
Anzueto 2009,Chest pain,Intervention,N=394,20/394 (5%)
Anzueto 2009,Muscle spasms,Intervention,N=394,25/394 (6%)
Anzueto 2009,Dizziness,Intervention,N=394,23/394 (6%)
Anzueto 2009,Vomiting,Intervention,N=394,27/394 (7%)
Anzueto 2009,Fatigue,Intervention,N=394,24/394 (6%)
Anzueto 2009,Pneumonia,Intervention,N=394,26/394 (7%)
Anzueto 2009,Moderate/severe exacerbations (≥1),Control,N=393,234/393 (60%)
Anzueto 2009,OCS-treated exacerbations (≥1),Control,N=393,197/393 (50%)
Anzueto 2009,All exacerbations (≥1),Control,N=393,346/393 (88%)
Anzueto 2009,Pre-dose FEV1 change from baseline (mL),Control,N=393,-97±20
Anzueto 2009,SGRQ total score change,Control,N=393,3.28
Anzueto 2009,Any adverse event,Control,N=403,343/403 (85%)
Anzueto 2009,Nasopharyngitis,Control,N=403,133/403 (33%)
Anzueto 2009,Pharyngolaryngeal pain,Control,N=403,135/403 (33%)
Anzueto 2009,Pyrexia,Control,N=403,77/403 (19%)
Anzueto 2009,Headache,Control,N=403,53/403 (13%)
Anzueto 2009,COPD,Control,N=403,45/403 (11%)
Anzueto 2009,Rhinorrhoea,Control,N=403,37/403 (9%)
Anzueto 2009,Upper respiratory tract infection,Control,N=403,30/403 (7%)
Anzueto 2009,Nausea,Control,N=403,22/403 (5%)
Anzueto 2009,Nasal congestion,Control,N=403,22/403 (5%)
Anzueto 2009,Back pain,Control,N=403,21/403 (5%)
Anzueto 2009,Diarrhoea,Control,N=403,25/403 (6%)
Anzueto 2009,Sinusitis,Control,N=403,22/403 (5%)
Anzueto 2009,Chest pain,Control,N=403,24/403 (6%)
Anzueto 2009,Muscle spasms,Control,N=403,19/403 (5%)
Anzueto 2009,Dizziness,Control,N=403,19/403 (5%)
Anzueto 2009,Vomiting,Control,N=403,14/403 (3%)
Anzueto 2009,Fatigue,Control,N=403,13/403 (3%)
Anzueto 2009,Pneumonia,Control,N=403,10/403 (2%)
